theta,omega
-1.5967276303926112,-0.20847345914189297
-1.5967241946935198,-0.20840486928302823
-1.5899649407205458,-0.14217758339093695
-1.589961505013943,-0.14210899409897484
-1.5899580693073478,-0.1420404048072231
-1.5899546336006838,-0.14197181551566398
-1.5899511978940268,-0.1419032262243156
-1.5899477621874518,-0.14183463693319595
-1.5899443264808848,-0.14176604764228712
-1.5899408907742487,-0.14169745835157135
-1.5899374550676202,-0.14162886906106664
-1.5899340193609977,-0.1415602797707733
-1.589930583654608,-0.14149169048074492
-1.5899271479478498,-0.1414231011908383
-1.5899237122414736,-0.14135451190123297
-1.5899202765348794,-0.1412859226117853
-1.589916840828292,-0.14121733332254954
-1.5899134051218615,-0.1411487440335614
-1.5899099694153622,-0.14108015474476734
-1.589906533708721,-0.14101156545614946
-1.589903098002236,-0.14094297616777962
-1.5898996622957577,-0.14087438687962198
-1.5898962265892862,-0.14080579759167672
-1.5898927908827474,-0.14073720830392605
-1.5898893551762892,-0.14066861901640593
-1.5898859194698383,-0.1406000297290983
-1.5898824837633934,-0.14053144044200364
-1.5898790480569562,-0.14046285115512167
-1.5898756123505995,-0.14039426186847076
-1.5898721766440267,-0.140325672581979
-1.589868740937609,-0.14025708329573647
-1.5898653052313463,-0.14018849400974306
-1.5831060774434853,-0.07396272687432189
-1.5831026417485752,-0.07389413816068575
-1.5830992060537437,-0.07382554944730746
-1.5830957703588466,-0.07375696073417157
-1.5830923346640997,-0.07368837202130102
-1.5830888989692877,-0.07361978330867275
-1.5830854632743405,-0.07355119459627947
-1.5830820275796127,-0.07348260588415884
-1.58307859188475,-0.07341401717227321
-1.5830751561898941,-0.07334542846063755
-1.583071720495044,-0.07327683974925189
-1.5830682848002724,-0.0732082510381236
-1.5830648491054367,-0.07313966232723787
-1.5830614134106071,-0.07307107361660216
-1.5830579777159974,-0.07300248490623809
-1.58305454202104,-0.07293389619608764
-1.583051106326372,-0.07286530748621599
-1.583047670631428,-0.07279671877656554
-1.583044234936915,-0.07272813006720781
-1.5830407992421969,-0.07265954135807838
-1.5830373635474848,-0.07259095264919868
-1.5830339278527799,-0.0725223639405688
-1.5830304921580807,-0.07245377523218863
-1.5830270564633186,-0.07238518652405122
-1.5830236207684931,-0.07231659781615667
-1.5830201850738144,-0.07224800910852569
-1.5830167493792824,-0.07217942040115816
-1.583013313684477,-0.07211083169401283
-1.583009877989889,-0.07204224298713763
-1.5830064422953065,-0.07197365428051207
-1.576247249042581,-0.005749412121442511
-1.5762438133579482,-0.005680823989080547
-1.576240377673257,-0.005612235856956594
-1.5762369419887001,-0.005543647725070881
-1.5762335063040855,-0.005475059593423085
