lr,epochs,batch_size,length
0.0232266712177335,997,125,400
0.0399288778495815,347,103,400
0.0300440828183511,557,27,400
0.0232328201523104,467,32,400
0.0327189794109682,245,97,400
0.0469583590962796,201,127,400
0.0310653347265719,689,17,400
0.00164159003955,620,61,148
0.0028099503290739,979,42,210
0.0049850185093746,695,59,271
0.049169928847436,573,112,400
0.0042698076864438,541,128,186
0.0007721652313863,204,125,103
0.0005,721,128,235
0.0005,1000,77,191
0.0005793759971655,215,121,228
0.023358036750742,995,21,400
0.0005,1000,78,161
0.0032144984954161,203,127,208
0.0007135855582506,232,18,260
0.0007197764369631,925,16,195
0.0005115660295742,990,29,150
0.0045965586911944,235,127,206
0.0131192436993266,207,19,400
0.0005139571328569,931,20,210
0.0006463919240665,520,127,218
0.000588334399768,226,125,231
0.0009477529870423,996,128,172
0.0155580311709255,994,127,400
0.0438628334591253,991,127,400
0.0049082437362841,215,126,178
0.0439948141975339,211,19,400
0.0005570444775765,976,22,188
0.0005608016601354,997,120,158
0.0007977843763636,961,128,185
0.0031665513037362,214,97,359
0.0005,849,50,226
0.0005897300291327,726,22,165
0.0073168308527187,588,127,356
0.0028608933545772,992,127,194
0.0006226637370987,957,127,181
0.0005087680325061,1000,21,133
0.0006926244108593,996,18,161
0.0005978934201166,204,120,243
0.0123661077213797,999,17,400
0.0005137958105667,989,25,161
0.0006041466227336,972,124,188
0.0006089720626299,232,17,187
0.0285955355757267,985,126,400
0.0027043773280331,990,127,163
0.0006668358421708779,249,17,165
