theta1,theta2,omega1,omega2
0.04065608002914453,0.1656513399705156,-0.4547154459432606,1.9021622160088285
0.044424346761049,0.25504527092363916,-0.4625216200012845,-0.2415984068193747
0.04497076406274427,0.2647463654306957,-0.44325338593037156,-0.05728863111245996
0.045384659249789856,0.27196599247050857,-0.4238724604636821,0.12902412112607692
0.045668166234053356,0.2767689574446282,-0.40437961957540125,0.3173135108626316
0.04582373265748687,0.27923191876579606,-0.38477596169080286,0.5075410781968137
0.04585413857931881,0.27944443938698094,-0.36506293190987943,0.699654818840742
0.045762527647533635,0.2775100496774593,-0.3452423657594101,0.8935876855240164
0.045552423369532295,0.2735471670869051,-0.32531651321279015,1.0892562779255786
0.04522775131152527,0.2676900833469765,-0.3052880755229198,1.2865594151236426
0.04479286644605383,0.2600895369262725,-0.2851602127883758,1.4853773052704538
0.0442525496591712,0.25091350802403223,-0.2649366040312494,1.68557018294406
0.04978510018759124,0.3479214605508276,-0.2758550559864365,-0.48849721168205273
0.050343455684827135,0.3602811184008534,-0.25668807583745273,-0.3089443650567215
0.05081400739188596,0.3709631179945552,-0.23744106907144646,-0.12795601102547452
0.05120137091427314,0.3800924157308827,-0.2181178843417161,0.054366932723746604
0.051510487470863266,0.38780594352940156,-0.19872273870448665,0.23791007743925158
0.05174663931362344,0.39425245845311124,-0.17926024680849037,0.42254552808469326
0.05191542328910075,0.3995923827312118,-0.15973538699479783,0.6081319562423904
0.05202275585296524,0.4039973349692478,-0.14015351199427767,0.7945149956310916
0.05207486062914555,0.4076494568379653,-0.12052033398561818,0.9815279101659858
0.052078264394306004,0.4107403433125624,-0.1008419183564494,1.1689927232481976
0.05203970532130208,0.413469932601209,-0.08112460689674184,1.3567214811244872
0.058911257820750434,0.513473008791059,-0.09439372656656621,-0.835646636781898
0.05933544043458233,0.5255597470622454,-0.07514670952990493,-0.6573911598173774
0.05972706943900174,0.5368075230538744,-0.0558689306705184,-0.47838034867324636
0.060092649916524646,0.5473866241943388,-0.036566583841659214,-0.2987704748511233
0.06043883848629403,0.5574737316076055,-0.01724605015080724,-0.11872562594935997
0.06077241260514871,0.5672506444736415,0.002086137216006397,0.06158372852533607
0.06110024219106075,0.5769028606118793,0.021423327117661692,0.24198235757434008
0.06142924463877524,0.5866180992772376,0.04075880148481993,0.42229196235762256
0.06176636135720258,0.596584689522218,0.06008580575341854,0.6023330521644923
0.062118506010614714,0.606990011197375,0.07939761714905355,0.7819267499132768
0.06249252482670525,0.6180188415387615,0.09868751791561915,0.9608967346488215
0.06951899223740823,0.7182557308314196,0.08508871669068833,-1.2351720005972142
0.06959583996544189,0.7246659709786039,0.10467714170941693,-1.0516634241105978
0.06970171064033545,0.7311211880528736,0.12423828153654029,-0.8681531565838877
0.0698436820712998,0.7378216267095483,0.14376523535603458,-0.684834101510336
0.07002865535460179,0.7449644096440452,0.16325129951372755,-0.5018963009148264
0.07026333715219636,0.7527417103335724,0.18268998557155178,-0.31952473490885586
0.07055420950734215,0.7613392283341831,0.20207505533909845,-0.13789752751411094
0.07090750719610597,0.7709348589108467,0.22140054729415345,0.04281557871284462
0.07132918346937671,0.7816974264661929,0.2406608197213362,0.22245481167998038
0.071824909317232,0.7937859768098331,0.2598505417913826,0.4008709931899184
0.07240004249948916,0.8073489883403014,0.27896473365391306,0.5779265074973132
